,person,sequence_id,coin,start,sequence,same_side,head-tail
345,davidV,1,0.20EUR,t,t,[1],[0]
346,davidV,1,0.20EUR,t,h,[0],[1]
347,davidV,1,0.20EUR,t,h,[0],[1]
348,davidV,1,0.20EUR,t,t,[1],[0]
349,davidV,1,0.20EUR,t,h,[0],[1]
350,davidV,1,0.20EUR,t,h,[0],[1]
351,davidV,1,0.20EUR,t,t,[1],[0]
352,davidV,1,0.20EUR,t,h,[0],[1]
353,davidV,1,0.20EUR,t,t,[1],[0]
354,davidV,1,0.20EUR,t,h,[0],[1]
355,davidV,1,0.20EUR,t,t,[1],[0]
356,davidV,1,0.20EUR,t,h,[0],[1]
357,davidV,1,0.20EUR,t,t,[1],[0]
358,davidV,1,0.20EUR,t,h,[0],[1]
359,davidV,1,0.20EUR,t,h,[0],[1]
360,davidV,1,0.20EUR,t,h,[0],[1]
361,davidV,1,0.20EUR,t,t,[1],[0]
362,davidV,1,0.20EUR,t,h,[0],[1]
363,davidV,1,0.20EUR,t,h,[0],[1]
364,davidV,1,0.20EUR,t,t,[1],[0]
365,davidV,1,0.20EUR,t,h,[0],[1]
366,davidV,1,0.20EUR,t,h,[0],[1]
367,davidV,1,0.20EUR,t,t,[1],[0]
368,davidV,1,0.20EUR,t,h,[0],[1]
369,davidV,1,0.20EUR,t,h,[0],[1]
370,davidV,1,0.20EUR,t,t,[1],[0]
371,davidV,1,0.20EUR,t,t,[1],[0]
372,davidV,1,0.20EUR,t,t,[1],[0]
373,davidV,1,0.20EUR,t,h,[0],[1]
374,davidV,1,0.20EUR,t,h,[0],[1]
375,davidV,1,0.20EUR,t,h,[0],[1]
376,davidV,1,0.20EUR,t,t,[1],[0]
377,davidV,1,0.20EUR,t,t,[1],[0]
378,davidV,1,0.20EUR,t,h,[0],[1]
379,davidV,1,0.20EUR,t,t,[1],[0]
380,davidV,1,0.20EUR,t,h,[0],[1]
381,davidV,1,0.20EUR,t,t,[1],[0]
382,davidV,1,0.20EUR,t,h,[0],[1]
383,davidV,1,0.20EUR,t,h,[0],[1]
384,davidV,1,0.20EUR,t,h,[0],[1]
385,davidV,1,0.20EUR,t,t,[1],[0]
386,davidV,1,0.20EUR,t,h,[0],[1]
387,davidV,1,0.20EUR,t,t,[1],[0]
388,davidV,1,0.20EUR,t,t,[1],[0]
389,davidV,1,0.20EUR,t,t,[1],[0]
390,davidV,1,0.20EUR,t,h,[0],[1]
391,davidV,1,0.20EUR,t,t,[1],[0]
392,davidV,1,0.20EUR,t,h,[0],[1]
393,davidV,1,0.20EUR,t,h,[0],[1]
394,davidV,1,0.20EUR,t,h,[0],[1]
395,davidV,1,0.20EUR,t,t,[1],[0]
396,davidV,1,0.20EUR,t,h,[0],[1]
397,davidV,1,0.20EUR,t,t,[1],[0]
398,davidV,1,0.20EUR,t,h,[0],[1]
399,davidV,1,0.20EUR,t,t,[1],[0]
400,davidV,1,0.20EUR,t,t,[1],[0]
401,davidV,1,0.20EUR,t,t,[1],[0]
402,davidV,1,0.20EUR,t,t,[1],[0]
403,davidV,1,0.20EUR,t,h,[0],[1]
404,davidV,2,0.20EUR,t,t,[1],[0]
405,davidV,2,0.20EUR,t,t,[1],[0]
406,davidV,2,0.20EUR,t,t,[1],[0]
407,davidV,2,0.20EUR,t,h,[0],[1]
408,davidV,2,0.20EUR,t,t,[1],[0]
409,davidV,2,0.20EUR,t,t,[1],[0]
410,davidV,2,0.20EUR,t,h,[0],[1]
411,davidV,2,0.20EUR,t,h,[0],[1]
412,davidV,2,0.20EUR,t,t,[1],[0]
413,davidV,2,0.20EUR,t,h,[0],[1]
414,davidV,2,0.20EUR,t,h,[0],[1]
415,davidV,2,0.20EUR,t,t,[1],[0]
416,davidV,2,0.20EUR,t,h,[0],[1]
417,davidV,2,0.20EUR,t,t,[1],[0]
418,davidV,2,0.20EUR,t,h,[0],[1]
419,davidV,2,0.20EUR,t,h,[0],[1]
420,davidV,2,0.20EUR,t,h,[0],[1]
421,davidV,2,0.20EUR,t,t,[1],[0]
422,davidV,2,0.20EUR,t,h,[0],[1]
423,davidV,2,0.20EUR,t,t,[1],[0]
424,davidV,2,0.20EUR,t,t,[1],[0]
425,davidV,2,0.20EUR,t,h,[0],[1]
426,davidV,2,0.20EUR,t,t,[1],[0]
427,davidV,2,0.20EUR,t,t,[1],[0]
428,davidV,2,0.20EUR,t,h,[0],[1]
429,davidV,2,0.20EUR,t,t,[1],[0]
430,davidV,2,0.20EUR,t,t,[1],[0]
431,davidV,2,0.20EUR,t,t,[1],[0]
432,davidV,2,0.20EUR,t,t,[1],[0]
433,davidV,2,0.20EUR,t,h,[0],[1]
434,davidV,2,0.20EUR,t,t,[1],[0]
435,davidV,2,0.20EUR,t,h,[0],[1]
436,davidV,2,0.20EUR,t,t,[1],[0]
437,davidV,2,0.20EUR,t,h,[0],[1]
438,davidV,2,0.20EUR,t,t,[1],[0]
439,davidV,2,0.20EUR,t,t,[1],[0]
440,davidV,2,0.20EUR,t,t,[1],[0]
441,davidV,2,0.20EUR,t,h,[0],[1]
442,davidV,2,0.20EUR,t,h,[0],[1]
443,davidV,2,0.20EUR,t,h,[0],[1]
444,davidV,2,0.20EUR,t,t,[1],[0]
445,davidV,2,0.20EUR,t,x,[],[]
446,davidV,2,0.20EUR,t,t,[1],[0]
447,davidV,2,0.20EUR,t,x,[],[]
448,davidV,2,0.20EUR,t,t,[1],[0]
449,davidV,2,0.20EUR,t,t,[1],[0]
450,davidV,2,0.20EUR,t,h,[0],[1]
451,davidV,2,0.20EUR,t,t,[1],[0]
452,davidV,2,0.20EUR,t,h,[0],[1]
453,davidV,2,0.20EUR,t,t,[1],[0]
454,davidV,2,0.20EUR,t,t,[1],[0]
455,davidV,2,0.20EUR,t,h,[0],[1]
456,davidV,2,0.20EUR,t,t,[1],[0]
457,davidV,2,0.20EUR,t,h,[0],[1]
458,davidV,2,0.20EUR,t,t,[1],[0]
459,davidV,2,0.20EUR,t,t,[1],[0]
460,davidV,2,0.20EUR,t,t,[1],[0]
461,davidV,2,0.20EUR,t,h,[0],[1]
462,davidV,2,0.20EUR,t,h,[0],[1]
463,davidV,2,0.20EUR,t,t,[1],[0]
464,davidV,2,0.20EUR,t,t,[1],[0]
465,davidV,2,0.20EUR,t,t,[1],[0]
466,davidV,2,0.20EUR,t,h,[0],[1]
467,davidV,2,0.20EUR,t,x,[],[]
468,davidV,2,0.20EUR,t,h,[0],[1]
469,davidV,2,0.20EUR,t,h,[0],[1]
470,davidV,2,0.20EUR,t,h,[0],[1]
471,davidV,2,0.20EUR,t,h,[0],[1]
472,davidV,2,0.20EUR,t,h,[0],[1]
473,davidV,2,0.20EUR,t,t,[1],[0]
474,davidV,2,0.20EUR,t,h,[0],[1]
475,davidV,2,0.20EUR,t,h,[0],[1]
476,davidV,2,0.20EUR,t,t,[1],[0]
477,davidV,2,0.20EUR,t,t,[1],[0]
478,davidV,2,0.20EUR,t,h,[0],[1]
479,davidV,2,0.20EUR,t,h,[0],[1]
480,davidV,2,0.20EUR,t,t,[1],[0]
481,davidV,2,0.20EUR,t,t,[1],[0]
482,davidV,2,0.20EUR,t,h,[0],[1]
483,davidV,2,0.20EUR,t,t,[1],[0]
484,davidV,2,0.20EUR,t,t,[1],[0]
485,davidV,2,0.20EUR,t,h,[0],[1]
486,davidV,2,0.20EUR,t,t,[1],[0]
487,davidV,2,0.20EUR,t,t,[1],[0]
488,davidV,2,0.20EUR,t,t,[1],[0]
489,davidV,2,0.20EUR,t,h,[0],[1]
490,davidV,2,0.20EUR,t,t,[1],[0]
491,davidV,2,0.20EUR,t,h,[0],[1]
492,davidV,2,0.20EUR,t,t,[1],[0]
493,davidV,2,0.20EUR,t,x,[],[]
494,davidV,2,0.20EUR,t,t,[1],[0]
495,davidV,2,0.20EUR,t,h,[0],[1]
496,davidV,2,0.20EUR,t,t,[1],[0]
497,davidV,2,0.20EUR,t,t,[1],[0]
498,davidV,2,0.20EUR,t,h,[0],[1]
499,davidV,2,0.20EUR,t,h,[0],[1]
500,davidV,2,0.20EUR,t,h,[0],[1]
501,davidV,2,0.20EUR,t,t,[1],[0]
502,davidV,2,0.20EUR,t,h,[0],[1]
503,davidV,2,0.20EUR,t,t,[1],[0]
504,davidV,2,0.20EUR,t,t,[1],[0]
505,davidV,2,0.20EUR,t,h,[0],[1]
506,davidV,2,0.20EUR,t,t,[1],[0]
507,davidV,2,0.20EUR,t,t,[1],[0]
508,davidV,2,0.20EUR,t,h,[0],[1]
509,davidV,2,0.20EUR,t,h,[0],[1]
510,davidV,2,0.20EUR,t,t,[1],[0]
511,davidV,2,0.20EUR,t,t,[1],[0]
512,davidV,2,0.20EUR,t,t,[1],[0]
513,davidV,2,0.20EUR,t,t,[1],[0]
514,davidV,2,0.20EUR,t,h,[0],[1]
515,davidV,2,0.20EUR,t,h,[0],[1]
516,davidV,2,0.20EUR,t,h,[0],[1]
517,davidV,2,0.20EUR,t,h,[0],[1]
518,davidV,2,0.20EUR,t,h,[0],[1]
519,davidV,2,0.20EUR,t,h,[0],[1]
520,davidV,2,0.20EUR,t,h,[0],[1]
521,davidV,2,0.20EUR,t,h,[0],[1]
522,davidV,2,0.20EUR,t,t,[1],[0]
523,davidV,2,0.20EUR,t,h,[0],[1]
524,davidV,2,0.20EUR,t,h,[0],[1]
525,davidV,2,0.20EUR,t,h,[0],[1]
526,davidV,2,0.20EUR,t,t,[1],[0]
527,davidV,2,0.20EUR,t,t,[1],[0]
528,davidV,2,0.20EUR,t,t,[1],[0]
529,davidV,2,0.20EUR,t,h,[0],[1]
530,davidV,2,0.20EUR,t,t,[1],[0]
531,davidV,2,0.20EUR,t,t,[1],[0]
532,davidV,2,0.20EUR,t,t,[1],[0]
533,davidV,2,0.20EUR,t,h,[0],[1]
534,davidV,2,0.20EUR,t,t,[1],[0]
535,davidV,2,0.20EUR,t,h,[0],[1]
536,davidV,2,0.20EUR,t,h,[0],[1]
537,davidV,2,0.20EUR,t,t,[1],[0]
538,davidV,2,0.20EUR,t,h,[0],[1]
539,davidV,2,0.20EUR,t,h,[0],[1]
540,davidV,2,0.20EUR,t,t,[1],[0]
541,davidV,2,0.20EUR,t,t,[1],[0]
542,davidV,2,0.20EUR,t,h,[0],[1]
543,davidV,2,0.20EUR,t,t,[1],[0]
544,davidV,2,0.20EUR,t,h,[0],[1]
545,davidV,2,0.20EUR,t,h,[0],[1]
546,davidV,2,0.20EUR,t,t,[1],[0]
547,davidV,2,0.20EUR,t,t,[1],[0]
548,davidV,2,0.20EUR,t,h,[0],[1]
549,davidV,2,0.20EUR,t,h,[0],[1]
550,davidV,2,0.20EUR,t,h,[0],[1]
551,davidV,2,0.20EUR,t,t,[1],[0]
552,davidV,2,0.20EUR,t,h,[0],[1]
553,davidV,2,0.20EUR,t,h,[0],[1]
554,davidV,2,0.20EUR,t,h,[0],[1]
555,davidV,2,0.20EUR,t,t,[1],[0]
556,davidV,2,0.20EUR,t,h,[0],[1]
557,davidV,2,0.20EUR,t,h,[0],[1]
558,davidV,2,0.20EUR,t,h,[0],[1]
559,davidV,2,0.20EUR,t,h,[0],[1]
560,davidV,2,0.20EUR,t,h,[0],[1]
561,davidV,2,0.20EUR,t,t,[1],[0]
562,davidV,2,0.20EUR,t,h,[0],[1]
563,davidV,2,0.20EUR,t,t,[1],[0]
564,davidV,2,0.20EUR,t,h,[0],[1]
565,davidV,2,0.20EUR,t,h,[0],[1]
566,davidV,2,0.20EUR,t,t,[1],[0]
567,davidV,2,0.20EUR,t,t,[1],[0]
568,davidV,2,0.20EUR,t,t,[1],[0]
569,davidV,2,0.20EUR,t,t,[1],[0]
570,davidV,2,0.20EUR,t,t,[1],[0]
571,davidV,2,0.20EUR,t,t,[1],[0]
572,davidV,2,0.20EUR,t,h,[0],[1]
573,davidV,2,0.20EUR,t,t,[1],[0]
574,davidV,2,0.20EUR,t,h,[0],[1]
575,davidV,2,0.20EUR,t,h,[0],[1]
576,davidV,2,0.20EUR,t,h,[0],[1]
577,davidV,2,0.20EUR,t,t,[1],[0]
578,davidV,2,0.20EUR,t,t,[1],[0]
579,davidV,2,0.20EUR,t,h,[0],[1]
580,davidV,2,0.20EUR,t,t,[1],[0]
581,davidV,2,0.20EUR,t,h,[0],[1]
582,davidV,2,0.20EUR,t,t,[1],[0]
583,davidV,2,0.20EUR,t,h,[0],[1]
584,davidV,2,0.20EUR,t,t,[1],[0]
585,davidV,2,0.20EUR,t,t,[1],[0]
586,davidV,2,0.20EUR,t,h,[0],[1]
587,davidV,2,0.20EUR,t,t,[1],[0]
588,davidV,2,0.20EUR,t,h,[0],[1]
589,davidV,2,0.20EUR,t,t,[1],[0]
590,davidV,2,0.20EUR,t,t,[1],[0]
591,davidV,2,0.20EUR,t,t,[1],[0]
592,davidV,2,0.20EUR,t,h,[0],[1]
593,davidV,2,0.20EUR,t,h,[0],[1]
594,davidV,2,0.20EUR,t,t,[1],[0]
595,davidV,2,0.20EUR,t,h,[0],[1]
596,davidV,2,0.20EUR,t,h,[0],[1]
597,davidV,2,0.20EUR,t,t,[1],[0]
598,davidV,2,0.20EUR,t,t,[1],[0]
599,davidV,2,0.20EUR,t,t,[1],[0]
600,davidV,2,0.20EUR,t,t,[1],[0]
601,davidV,2,0.20EUR,t,t,[1],[0]
602,davidV,2,0.20EUR,t,h,[0],[1]
603,davidV,2,0.20EUR,t,t,[1],[0]
604,davidV,2,0.20EUR,t,t,[1],[0]
605,davidV,2,0.20EUR,t,h,[0],[1]
606,davidV,2,0.20EUR,t,t,[1],[0]
607,davidV,2,0.20EUR,t,h,[0],[1]
608,davidV,2,0.20EUR,t,h,[0],[1]
609,davidV,2,0.20EUR,t,t,[1],[0]
610,davidV,2,0.20EUR,t,h,[0],[1]
611,davidV,2,0.20EUR,t,t,[1],[0]
612,davidV,2,0.20EUR,t,h,[0],[1]
613,davidV,2,0.20EUR,t,h,[0],[1]
614,davidV,2,0.20EUR,t,h,[0],[1]
615,davidV,2,0.20EUR,t,t,[1],[0]
616,davidV,2,0.20EUR,t,t,[1],[0]
617,davidV,2,0.20EUR,t,t,[1],[0]
618,davidV,2,0.20EUR,t,h,[0],[1]
619,davidV,2,0.20EUR,t,t,[1],[0]
620,davidV,2,0.20EUR,t,t,[1],[0]
621,davidV,2,0.20EUR,t,h,[0],[1]
622,davidV,2,0.20EUR,t,t,[1],[0]
623,davidV,2,0.20EUR,t,t,[1],[0]
624,davidV,2,0.20EUR,t,h,[0],[1]
625,davidV,2,0.20EUR,t,t,[1],[0]
626,davidV,2,0.20EUR,t,t,[1],[0]
627,davidV,2,0.20EUR,t,t,[1],[0]
628,davidV,2,0.20EUR,t,h,[0],[1]
629,davidV,2,0.20EUR,t,t,[1],[0]
630,davidV,2,0.20EUR,t,h,[0],[1]
631,davidV,2,0.20EUR,t,h,[0],[1]
632,davidV,2,0.20EUR,t,t,[1],[0]
633,davidV,2,0.20EUR,t,h,[0],[1]
634,davidV,2,0.20EUR,t,h,[0],[1]
635,davidV,2,0.20EUR,t,t,[1],[0]
636,davidV,2,0.20EUR,t,h,[0],[1]
637,davidV,2,0.20EUR,t,t,[1],[0]
638,davidV,2,0.20EUR,t,t,[1],[0]
639,davidV,2,0.20EUR,t,h,[0],[1]
640,davidV,2,0.20EUR,t,t,[1],[0]
641,davidV,2,0.20EUR,t,t,[1],[0]
642,davidV,2,0.20EUR,t,h,[0],[1]
643,davidV,2,0.20EUR,t,t,[1],[0]
644,davidV,2,0.20EUR,t,t,[1],[0]
645,davidV,2,0.20EUR,t,h,[0],[1]
646,davidV,2,0.20EUR,t,t,[1],[0]
647,davidV,2,0.20EUR,t,t,[1],[0]
648,davidV,2,0.20EUR,t,t,[1],[0]
649,davidV,2,0.20EUR,t,t,[1],[0]
650,davidV,2,0.20EUR,t,h,[0],[1]
651,davidV,2,0.20EUR,t,t,[1],[0]
652,davidV,2,0.20EUR,t,t,[1],[0]
653,davidV,2,0.20EUR,t,t,[1],[0]
654,davidV,2,0.20EUR,t,t,[1],[0]
655,davidV,2,0.20EUR,t,h,[0],[1]
656,davidV,2,0.20EUR,t,t,[1],[0]
657,davidV,2,0.20EUR,t,h,[0],[1]
658,davidV,2,0.20EUR,t,t,[1],[0]
659,davidV,2,0.20EUR,t,h,[0],[1]
660,davidV,2,0.20EUR,t,t,[1],[0]
661,davidV,2,0.20EUR,t,h,[0],[1]
662,davidV,2,0.20EUR,t,t,[1],[0]
663,davidV,2,0.20EUR,t,h,[0],[1]
664,davidV,2,0.20EUR,t,t,[1],[0]
665,davidV,2,0.20EUR,t,h,[0],[1]
666,davidV,2,0.20EUR,t,t,[1],[0]
667,davidV,2,0.20EUR,t,t,[1],[0]
668,davidV,2,0.20EUR,t,t,[1],[0]
669,davidV,2,0.20EUR,t,t,[1],[0]
670,davidV,2,0.20EUR,t,t,[1],[0]
671,davidV,2,0.20EUR,t,t,[1],[0]
672,davidV,2,0.20EUR,t,h,[0],[1]
673,davidV,2,0.20EUR,t,h,[0],[1]
674,davidV,2,0.20EUR,t,h,[0],[1]
675,davidV,2,0.20EUR,t,h,[0],[1]
676,davidV,2,0.20EUR,t,t,[1],[0]
677,davidV,2,0.20EUR,t,h,[0],[1]
678,davidV,2,0.20EUR,t,h,[0],[1]
679,davidV,2,0.20EUR,t,h,[0],[1]
680,davidV,2,0.20EUR,t,t,[1],[0]
681,davidV,2,0.20EUR,t,h,[0],[1]
682,davidV,2,0.20EUR,t,t,[1],[0]
683,davidV,2,0.20EUR,t,t,[1],[0]
684,davidV,2,0.20EUR,t,t,[1],[0]
685,davidV,2,0.20EUR,t,h,[0],[1]
686,davidV,2,0.20EUR,t,h,[0],[1]
687,davidV,2,0.20EUR,t,h,[0],[1]
688,davidV,2,0.20EUR,t,h,[0],[1]
689,davidV,2,0.20EUR,t,t,[1],[0]
690,davidV,2,0.20EUR,t,h,[0],[1]
691,davidV,2,0.20EUR,t,t,[1],[0]
692,davidV,2,0.20EUR,t,t,[1],[0]
693,davidV,2,0.20EUR,t,h,[0],[1]
694,davidV,2,0.20EUR,t,h,[0],[1]
695,davidV,2,0.20EUR,t,h,[0],[1]
696,davidV,2,0.20EUR,t,t,[1],[0]
697,davidV,2,0.20EUR,t,t,[1],[0]
698,davidV,2,0.20EUR,t,t,[1],[0]
699,davidV,2,0.20EUR,t,t,[1],[0]
700,davidV,2,0.20EUR,t,t,[1],[0]
701,davidV,2,0.20EUR,t,t,[1],[0]
702,davidV,2,0.20EUR,t,h,[0],[1]
703,davidV,2,0.20EUR,t,h,[0],[1]
704,davidV,2,0.20EUR,t,t,[1],[0]
705,davidV,2,0.20EUR,t,h,[0],[1]
706,davidV,2,0.20EUR,t,h,[0],[1]
707,davidV,2,0.20EUR,t,h,[0],[1]
708,davidV,2,0.20EUR,t,h,[0],[1]
709,davidV,2,0.20EUR,t,t,[1],[0]
710,davidV,2,0.20EUR,t,t,[1],[0]
711,davidV,2,0.20EUR,t,h,[0],[1]
712,davidV,2,0.20EUR,t,h,[0],[1]
713,davidV,2,0.20EUR,t,h,[0],[1]
714,davidV,2,0.20EUR,t,h,[0],[1]
715,davidV,2,0.20EUR,t,t,[1],[0]
716,davidV,2,0.20EUR,t,h,[0],[1]
717,davidV,2,0.20EUR,t,t,[1],[0]
718,davidV,2,0.20EUR,t,h,[0],[1]
719,davidV,2,0.20EUR,t,t,[1],[0]
720,davidV,2,0.20EUR,t,h,[0],[1]
721,davidV,2,0.20EUR,t,t,[1],[0]
722,davidV,2,0.20EUR,t,t,[1],[0]
723,davidV,2,0.20EUR,t,h,[0],[1]
724,davidV,2,0.20EUR,t,h,[0],[1]
725,davidV,2,0.20EUR,t,t,[1],[0]
726,davidV,2,0.20EUR,t,t,[1],[0]
727,davidV,2,0.20EUR,t,t,[1],[0]
728,davidV,2,0.20EUR,t,t,[1],[0]
729,davidV,2,0.20EUR,t,h,[0],[1]
730,davidV,2,0.20EUR,t,t,[1],[0]
731,davidV,2,0.20EUR,t,h,[0],[1]
732,davidV,2,0.20EUR,t,t,[1],[0]
733,davidV,2,0.20EUR,t,t,[1],[0]
734,davidV,2,0.20EUR,t,h,[0],[1]
735,davidV,2,0.20EUR,t,h,[0],[1]
736,davidV,2,0.20EUR,t,t,[1],[0]
737,davidV,2,0.20EUR,t,h,[0],[1]
738,davidV,2,0.20EUR,t,h,[0],[1]
739,davidV,2,0.20EUR,t,t,[1],[0]
740,davidV,2,0.20EUR,t,h,[0],[1]
741,davidV,2,0.20EUR,t,h,[0],[1]
742,davidV,2,0.20EUR,t,h,[0],[1]
743,davidV,2,0.20EUR,t,h,[0],[1]
744,davidV,2,0.20EUR,t,h,[0],[1]
745,davidV,2,0.20EUR,t,t,[1],[0]
746,davidV,2,0.20EUR,t,h,[0],[1]
747,davidV,2,0.20EUR,t,t,[1],[0]
748,davidV,2,0.20EUR,t,t,[1],[0]
749,davidV,2,0.20EUR,t,t,[1],[0]
750,davidV,2,0.20EUR,t,t,[1],[0]
751,davidV,2,0.20EUR,t,h,[0],[1]
752,davidV,2,0.20EUR,t,t,[1],[0]
753,davidV,2,0.20EUR,t,h,[0],[1]
754,davidV,2,0.20EUR,t,h,[0],[1]
755,davidV,2,0.20EUR,t,h,[0],[1]
756,davidV,2,0.20EUR,t,h,[0],[1]
757,davidV,2,0.20EUR,t,h,[0],[1]
758,davidV,2,0.20EUR,t,h,[0],[1]
759,davidV,2,0.20EUR,t,t,[1],[0]
760,davidV,2,0.20EUR,t,h,[0],[1]
761,davidV,2,0.20EUR,t,h,[0],[1]
762,davidV,2,0.20EUR,t,t,[1],[0]
763,davidV,2,0.20EUR,t,h,[0],[1]
764,davidV,2,0.20EUR,t,h,[0],[1]
765,davidV,2,0.20EUR,t,t,[1],[0]
766,davidV,2,0.20EUR,t,h,[0],[1]
767,davidV,2,0.20EUR,t,t,[1],[0]
768,davidV,2,0.20EUR,t,t,[1],[0]
769,davidV,2,0.20EUR,t,h,[0],[1]
770,davidV,2,0.20EUR,t,h,[0],[1]
771,davidV,2,0.20EUR,t,h,[0],[1]
772,davidV,2,0.20EUR,t,h,[0],[1]
773,davidV,2,0.20EUR,t,h,[0],[1]
774,davidV,2,0.20EUR,t,h,[0],[1]
775,davidV,2,0.20EUR,t,h,[0],[1]
776,davidV,2,0.20EUR,t,t,[1],[0]
777,davidV,2,0.20EUR,t,t,[1],[0]
778,davidV,2,0.20EUR,t,h,[0],[1]
779,davidV,2,0.20EUR,t,h,[0],[1]
780,davidV,2,0.20EUR,t,t,[1],[0]
781,davidV,2,0.20EUR,t,t,[1],[0]
782,davidV,2,0.20EUR,t,t,[1],[0]
783,davidV,2,0.20EUR,t,t,[1],[0]
784,davidV,2,0.20EUR,t,t,[1],[0]
785,davidV,2,0.20EUR,t,t,[1],[0]
786,davidV,2,0.20EUR,t,t,[1],[0]
787,davidV,2,0.20EUR,t,h,[0],[1]
788,davidV,2,0.20EUR,t,t,[1],[0]
789,davidV,2,0.20EUR,t,t,[1],[0]
790,davidV,2,0.20EUR,t,t,[1],[0]
791,davidV,2,0.20EUR,t,h,[0],[1]
792,davidV,2,0.20EUR,t,h,[0],[1]
793,davidV,2,0.20EUR,t,h,[0],[1]
794,davidV,2,0.20EUR,t,t,[1],[0]
795,davidV,2,0.20EUR,t,h,[0],[1]
796,davidV,2,0.20EUR,t,h,[0],[1]
797,davidV,2,0.20EUR,t,h,[0],[1]
798,davidV,3,0.20EUR,t,t,[1],[0]
799,davidV,3,0.20EUR,t,h,[0],[1]
800,davidV,3,0.20EUR,t,t,[1],[0]
801,davidV,3,0.20EUR,t,h,[0],[1]
802,davidV,3,0.20EUR,t,t,[1],[0]
803,davidV,3,0.20EUR,t,t,[1],[0]
804,davidV,3,0.20EUR,t,h,[0],[1]
805,davidV,3,0.20EUR,t,h,[0],[1]
806,davidV,3,0.20EUR,t,h,[0],[1]
807,davidV,3,0.20EUR,t,t,[1],[0]
808,davidV,3,0.20EUR,t,h,[0],[1]
809,davidV,3,0.20EUR,t,t,[1],[0]
810,davidV,3,0.20EUR,t,t,[1],[0]
811,davidV,3,0.20EUR,t,t,[1],[0]
812,davidV,3,0.20EUR,t,t,[1],[0]
813,davidV,3,0.20EUR,t,h,[0],[1]
814,davidV,3,0.20EUR,t,t,[1],[0]
815,davidV,3,0.20EUR,t,t,[1],[0]
816,davidV,3,0.20EUR,t,t,[1],[0]
817,davidV,3,0.20EUR,t,t,[1],[0]
818,davidV,3,0.20EUR,t,h,[0],[1]
819,davidV,3,0.20EUR,t,h,[0],[1]
820,davidV,3,0.20EUR,t,h,[0],[1]
821,davidV,3,0.20EUR,t,h,[0],[1]
822,davidV,3,0.20EUR,t,t,[1],[0]
823,davidV,3,0.20EUR,t,t,[1],[0]
824,davidV,3,0.20EUR,t,h,[0],[1]
825,davidV,3,0.20EUR,t,h,[0],[1]
826,davidV,3,0.20EUR,t,t,[1],[0]
827,davidV,3,0.20EUR,t,t,[1],[0]
828,davidV,3,0.20EUR,t,t,[1],[0]
829,davidV,3,0.20EUR,t,h,[0],[1]
830,davidV,3,0.20EUR,t,h,[0],[1]
831,davidV,3,0.20EUR,t,t,[1],[0]
832,davidV,3,0.20EUR,t,h,[0],[1]
833,davidV,3,0.20EUR,t,t,[1],[0]
834,davidV,3,0.20EUR,t,t,[1],[0]
835,davidV,3,0.20EUR,t,h,[0],[1]
836,davidV,3,0.20EUR,t,h,[0],[1]
837,davidV,3,0.20EUR,t,h,[0],[1]
838,davidV,3,0.20EUR,t,h,[0],[1]
839,davidV,3,0.20EUR,t,t,[1],[0]
840,davidV,3,0.20EUR,t,h,[0],[1]
841,davidV,3,0.20EUR,t,h,[0],[1]
842,davidV,3,0.20EUR,t,h,[0],[1]
843,davidV,3,0.20EUR,t,h,[0],[1]
844,davidV,3,0.20EUR,t,h,[0],[1]
845,davidV,3,0.20EUR,t,t,[1],[0]
846,davidV,3,0.20EUR,t,h,[0],[1]
847,davidV,3,0.20EUR,t,h,[0],[1]
848,davidV,3,0.20EUR,t,h,[0],[1]
849,davidV,3,0.20EUR,t,t,[1],[0]
850,davidV,3,0.20EUR,t,t,[1],[0]
851,davidV,3,0.20EUR,t,t,[1],[0]
852,davidV,3,0.20EUR,t,h,[0],[1]
853,davidV,3,0.20EUR,t,h,[0],[1]
854,davidV,3,0.20EUR,t,h,[0],[1]
855,davidV,3,0.20EUR,t,t,[1],[0]
856,davidV,3,0.20EUR,t,h,[0],[1]
857,davidV,3,0.20EUR,t,t,[1],[0]
858,davidV,3,0.20EUR,t,h,[0],[1]
859,davidV,3,0.20EUR,t,t,[1],[0]
860,davidV,3,0.20EUR,t,t,[1],[0]
861,davidV,3,0.20EUR,t,t,[1],[0]
862,davidV,3,0.20EUR,t,t,[1],[0]
863,davidV,3,0.20EUR,t,h,[0],[1]
864,davidV,3,0.20EUR,t,h,[0],[1]
865,davidV,3,0.20EUR,t,h,[0],[1]
866,davidV,3,0.20EUR,t,t,[1],[0]
867,davidV,3,0.20EUR,t,t,[1],[0]
868,davidV,3,0.20EUR,t,t,[1],[0]
869,davidV,3,0.20EUR,t,h,[0],[1]
870,davidV,3,0.20EUR,t,t,[1],[0]
871,davidV,3,0.20EUR,t,t,[1],[0]
872,davidV,3,0.20EUR,t,t,[1],[0]
873,davidV,3,0.20EUR,t,t,[1],[0]
874,davidV,3,0.20EUR,t,t,[1],[0]
875,davidV,3,0.20EUR,t,t,[1],[0]
876,davidV,3,0.20EUR,t,t,[1],[0]
877,davidV,3,0.20EUR,t,t,[1],[0]
878,davidV,3,0.20EUR,t,h,[0],[1]
879,davidV,3,0.20EUR,t,t,[1],[0]
880,davidV,3,0.20EUR,t,h,[0],[1]
881,davidV,3,0.20EUR,t,h,[0],[1]
