"person","sequence_id","coin","start","sequence"
"frantisekB",54,"0.5EUR","h","hthtthhhxthhthttththhttthttxhtthhhhthhhhthtththhhhtxhhhhhhthththttttthhhtttthththxhthhttthhhththtthhxthhh"
"frantisekB",55,"0.5EUR","t","tththhhxthhththhhhhhxhhhhththttthhtthttthhhhhhtttttttxtthttxhhthhhtthttttthhtthhtthhthtthhhhhttthhhthhth"
"frantisekB",56,"0.5EUR","h","hhthhhxthhtthttthththhthhhhtxththtthhtthhhtthhtthtthhthhhttttttththththhthtthhttxhthhtthhhhttttththhttt"
"frantisekB",57,"0.5EUR","h","hhhthhtthttttxhhxthtttthhhtthhhhttthtthhhhhthhththtxhhtthhhhhhhhthhhtthttttxhhhhxhhhththtthhhhththhhhxthth"
"frantisekB",58,"0.5EUR","t","hhthttthththhhtthhhhxtthhhhhttthtttthhtttththhthhhxhhtxhthhttxtttttttttthhhtttthhhhthtthththxthttthxhhthth"
"frantisekB",59,"0.5EUR","h","hhhttthtxththtthhhtthhtttthththttthhthtthhhttttthhtttththxhtththhhxthhtthhththtttttthtxhhththhttthhhtxtht"
"frantisekB",60,"0.5EUR","h","hhththththththtthtthhhhtthxtxhttthtxthtththththhtththttttththtthttthhhttththhhxhttththxhtthhhhttthttxhhhtt"
"frantisekB",61,"1EUR","t","hxhtxtxxhhtthhhhtthhttxhhttthttthhhhhhhthhhhtthhhhhhthhtthhhhhtththhhthxxtthhxthhhhhththtttttttxhhhhhtttthhtt"
"frantisekB",62,"1EUR","t","txhthhhtttttthttttttthhhhhthhtttththttxthtxhththhhthttthhhthhhhthttttthtthttththhhttxhhhththhthtththhhtt"
"frantisekB",63,"1EUR","h","htthhtxhthhhttthhxthttthtthhthhhxthttthththththhthhtthhthhxhhhtthhhhttthtththththhthtththhxhtttxtthththhht"
"frantisekB",64,"1EUR","h","httxhtttttththhhhhtttththhhtthhthtthhthtxhhththtthttthtthhtthhtththhhthhttttxhhthtttxhhxthhttxtthhhttthhht"
"frantisekB",65,"1EUR","t","hhththhhthththtthhhthhhxhtthtthhtthxtttttthhtthhhhththttttxhhhthtththtttttthttttthhhtthhtththhhhhthttxtt"
"frantisekB",66,"1EUR","h","tttthhhhtxththhhtthtthhhhxhhththhxthhthththtttttthxtttthttthhhthhhhthhtthtthhhtthhxhhhtthtthhttthtthtthht"
"frantisekB",67,"1EUR","t","hhxhhhtththhhthhhthhhtxthtxhhhthtththxhhhttthhhxhhthhtthxhthhttthhttthhhthhtxthhtthhththtxtthtthhxhhhhtththht"
"frantisekB",68,"1EUR","t","httthtthhthhtxhthhthhthxhhxhhttttthtthhttthhhhhhhttttxhhhthhhthhhhhhhhhtthhttxhhtththhtthttttxhthththxthttt"
"frantisekB",69,"1EUR","h","thhthttthhhthttttthhhthhhtxhhtthtthhhhththxtththtthhhthtthhhtttthtthtxtththhhhhtththhththhttththtttthhh"
"frantisekB",70,"1EUR","h","hhthtthtththththhthhthhhhhhttthxththxtttthhhhtxththththhhthttthtthttthhhhhtthhhhththhtttxhthhhthhthttthh"
"frantisekB",71,"1EUR","h","ttthhhthhthhthhhthtttthhttthhtthhhxttththththhhxhhhhhhxhhttthttxhthtxhhhhhttthtthhhtthhhthhhtthhhttthtthh"
"frantisekB",72,"1EUR","t","hhthtttttttthhhxhhhthtththhttththxhttttttttthhtthtthhthhhthhtxhhttthhttxtthtttthththttttthhhttththththhh"
"frantisekB",73,"1EUR","t","thhttxhtththtthhhhthhhhhhthhhhhthtthhtxhthhhhhtthhhthtxttxhxhhtxtthhthhtxhtthhxhhthhtththhthtththxhthxxttthhthh"
"frantisekB",74,"1EUR","h","hhtthhxhttthhhhtxthththtttthttthhhtthtttththhthhttxthttththhhthtxhththhhxhthhhxhhttthtthhhhhhtthththhxthhhh"
"frantisekB",75,"1EUR","h","xttthhthhhxttthhtttthththththhxthhttttthhhhhhxhtttttthhhhtthtthxthtthhhtthtttttxthhthtthhhtthtxtthttthththh"
"frantisekB",76,"1EUR","h","tthttthxhhhthhxththhtttthhthhtthhttxthttxtththhtthtthhthhxhxhhhhhthhhhhttttttttttththtttthttttxhhxhhxtththtth"
"frantisekB",77,"1EUR","h","hhttthttxhhhhhtthhthhthhthhtthhhhhhhhthtthhthtthhthtxtthththhtthhtxhhththttttthhtxhxththttxhxttthhhhttttthh"
"frantisekB",78,"1EUR","h","ththtxththhhttththttthttxthhthtttttthhhxhhhhhthtthtthtttthhtttthhhhhhtthhttthhtthhththtthhhtthttxtxhtthtt"
"frantisekB",79,"1EUR","h","hhxthhhxhttttthhxhtthhtththttthhthxthttthhttxhxhhhhhhthhxthhtthhtxhtthhhththxhhhthhhhthtththhxthhtthhhhththhhh"
"ingeborgR",1,"1HRK","h","thhhtxhhthtxthtttthttththththhhttttthxhtthhhhhxtxhthxttthxhtttthhhttxttthhhhttthtxhthtthhhhtttttttthtththhttt"
"ingeborgR",2,"1HRK","t","hththhthhththhtthhhhxtththhthxtththhthhthttthhththhhthtththhthththhthththtthhttthhththtxhhhthttthhtthht"
"ingeborgR",3,"1HRK","h","htththtthhthtttxhthttttthhhhthhhhttthhtthhthhtttxtthtththhhhhthhhhhhhthhhthtxxxtthhtttttthhhtthtthtthhthh"
"ingeborgR",4,"1HRK","h","tttthttthhtthtththhhththhhxhtttxhhhhthtthhthttthhhhthhttththhhhthhhtttthhhttththhhhttthhhthhthhthhthth"
"ingeborgR",5,"1HRK","t","tthttthhththhthhttttttthhhhhttxhxthhhhththhhtttthhhhttthhhhhtthththththhthhhthhtttttttthhhhhhhthhhtthh"
"ingeborgR",44,"1HRK","t","ttthththhthhttththtxhhhxhthhtxtthtxttthhhhthhhthtttthhhttthhhxtthhhththhhhthtthhthttthhhhhhhhhhthttthhttt"
"ingeborgR",45,"1HRK","t","hxthhttthhhhhtttttttththhthhhxtthhhthhhhthhhttttxttthtthhtttttthhhtttthhhhhhhhhhtxththttthhhhhththththhh"
"ingeborgR",46,"1HRK","h","hxthhttthhhhhtttttttththhthhhxtthhhthhhhthhhttttxttthtthhtttttthhhtttthhhhhhhhhhtxththttthhhhhththththh"
"ingeborgR",47,"1HRK","t","hhxttththhthhhttthhhhhhttttttxttthhttthhtthhthxtxhththtthhhtththhhhthtthhhhhhttthxhhtththhhhthhtthhthttth"
"ingeborgR",48,"1HRK","h","tthtththhtthxhtthhhthhhhthththhthhthtthhthththttthhhhhhththhhhhtthttttttthhhthtthhhhxththhhhthhthhthth"
"ingeborgR",49,"1HRK","t","tthtthhttttthhtttthtthttthhhththhhtttthtttthtthhhthththhhtththttthhhhhtxthttthththtthhhthhhhttttthtth"
"ingeborgR",50,"1HRK","t","htttthhhtthtthttthththhthtththhhhxhhhhthhhhhhhhtttthtthhhthththhtttthhttthhthhhhthhhhthhttxhxhtttthhtht"
"ingeborgR",51,"1HRK","t","hhthtttttththhhhhttthhthtttthtxhttthhthhhhhthhhhhhththhtxhttthhtthttttthtthtththththhhthhxhthhtthttttht"
"ingeborgR",52,"1HRK","t","tttthtttthhttththtththtththhhtthththhththttthhxthhhthhthhtthththhhhhtththtttthththhttthttthttthththht"
"ingeborgR",53,"1HRK","t","thtthhthhthttthhhthhttxhhthhxthtttxhtttthhhhhhtthhhththhhttththtxthtttttttthhhthhxhttttthhhhhtxhhthhhthhth"
"ingeborgR",54,"1HRK","t","hhtthththhhhhtttthttthttttttthhhhhththttthhtttththhthhttxhhhtttththththhthhttththttthhhtthhhhhtththht"
"ingeborgR",55,"1HRK","h","hthhhththhtthhhtththththtthhthttttttthththtttthtththththtttthhhhtththhththxhhhhthtttthhhttttthhtttthh"
"ingeborgR",56,"1HRK","t","thhththtthhhtttttthtttthhhhtththtttththhhththhxhttthhhtththththhthhxxtttththhhhhhtththhhtthhhthtththhhh"
"ingeborgR",57,"1HRK","h","htthttththttttxthtthhthhttthhhthhhhthtthtthhthhhhtthtthhhtttttthhhhhhxhthtththhhththhxhthhthtthhttthtth"
"ingeborgR",58,"1HRK","h","thththththhhhhhtthhttthhthhthtthtxttthtttthhhhhtthhhhxtthtthttthhhtthttthhhhtththhhhhhthhttthhttthtttt"
"ingeborgR",59,"1HRK","t","xthtthhhhthhthhtththhtttthhhtttttthhxtthxtthhththhththhtthhhhttthtthhththttttttthhhhtthhhtthhttxttthhhtt"
"ingeborgR",60,"1HRK","h","thtthhthtthhhttttthtthhttxtththhhtttttthttthhhhhtttthhhtththththhthttththhtthhthhtthhthththhththtthht"
"ingeborgR",61,"1HRK","t","hhtttthhttthhtttttthththhthhhhthtthhthhhhttthththhxhhhhthhhtthhhtthhhthhtthhththhthththhthttttthhtth"
"ingeborgR",62,"1HRK","h","hthtttthtthhhttthhhhtthtttttththhhhhhhttttthhththhhttttttttthxttthththtthhhhtttthtthhthtttttxthtttttht"
"ingeborgR",63,"1HRK","h","hhtttttththttttthhthttthttxtthtththttthhhthtthhhththththhtthhthxhhtttttthhththtthhtthhhhhhhhtthtthhthh"
"ingeborgR",64,"1HRK","t","hhtthhththttthtthhththttthhththhhtthhxththhhttthththttxthttttththtthhtthhtthhhtthhthttthtthththtthhthh"
"ingeborgR",65,"1HRK","h","ttthhhtthttttthhthththtttttthhhhhhthhhtttttttthhxhhhtttthhhtthttthhthtthttthhhtthththhhhthhthhhhhhhhh"
"ingeborgR",66,"1HRK","h","thththtttthhthhhhtthhthhthxthhttthhhhtthhhththhthttththttxhthhttxtthtthhhthxhthtthhhthhhxthhthxtththhhthht"
"ingeborgR",67,"1HRK","h","ttthhhhttthtthttthttttthhhhttthhhthttthttthhhthxtthtthttttththtttthtthhththhthhhhhxhhhhttxhhthtthtththh"
"ingeborgR",68,"1HRK","h","thththtththttthtthtxhhthhthhtthtttthhtththhthhhhthtthtthttttthhhhthhhttththhhthhttttthtthhtththhhhtht"
"ingeborgR",69,"1HRK","h","hhhhhhhhtththhthhhtttxhhthhhttthhthththtthttthhthhthththhtththttxhhhthtttththtthhttthhthhhththhhhththt"
"ingeborgR",70,"1HRK","h","thhtthhttththhththhtthhtththhtxtththhthhththhhtttttxthhhthhhthttththhthhxtthtthththttthtttthtthhttxtthth"
"ingeborgR",71,"1HRK","t","xthhththhttxthtttthhthhhttthhttthhhtthhththhhhththtxttththhtthtttthhtthhtthhththtthhthtttthtthtthhthhht"
"ingeborgR",72,"1HRK","h","hhhtthttthhhhttthhtthtttththhhhhhhhhhthhxhthhttthttthttththtthhthhtxttthtttthtththhhhxthhthhtttthththtt"
"ingeborgR",73,"1HRK","h","ttthhhtthttthththtthhhhtxhhthhthhhhhththttthtthhhhhhhthhthhhhhhtthhhthttththhhhhhthhtthththhththhhhht"
"ingeborgR",74,"1HRK","t","htthxtttxththhtttttththttthhtthhhhthhttthhthhtthhtttthtthhthhtttttthttttthhthtxthttthhhthxthhhhhhhhtthtt"
"ingeborgR",75,"1HRK","h","hhhhthhhhhttttthtttttththtthhxhththttttthtxhhtthhhhthhttthxtththhhhhhhtththhxhhhththtthttthhtttttththhhh"
"ingeborgR",76,"1HRK","h","hhhthhtttthhtxttttthtthhtthhxhthhtttthhhttththtthhhthhthhhthhthhtthhtxhhthhththttxhthhhhthtthttthxttthhtt"
"ingeborgR",77,"1HRK","h","hthtthhthxhttttttthhhhhhhtthttthxthhttttththththhhhhhhhhhttttthhttttxththhthtttthtxhttththtttthxtthttthht"
"ingeborgR",78,"1HRK","h","httthhtthhhttththhhhthhhthtxhhtxhtthtththhhthttthhhttttththtthhttttthtttttthtxhhthxththhhthttthxththtthxth"
"ingeborgR",79,"1HRK","h","htxhththhhthhtttttthththhhhttxhhhhhthhthththttttthttthhtthxhthttttttththhthhtthhthhthttthhtthhttththtxtt"
"ingeborgR",80,"1HRK","h","thhhhttttththhhttttthxthtttttxhttttththhttthttttthhthttthtthhhhhhhthttxhtthhthhhxtthhhtthththttthtthttht"
"ingeborgR",81,"1HRK","t","tttthtttthhthtthhhthttttthhhhhhxhthtthhhxhhthhhhthhthhhththhthththhhthtttxhthhhttththhththhhthtxthhthhth"
"ingeborgR",82,"1HRK","t","hhhttthhhtthxtththtttthhtthhhxhttthhthhthhttthhhtxhttttttttthtthhttthtthhhthhhttttttthtththhtttxthththtt"
"ingeborgR",83,"1HRK","h","hhhhtthtttttxhhhtththttthhhtxthhtthtxhhttththhhthhththhhhxhhhthhhhhththhtthhhthttttttttthtththththtttttt"
"ingeborgR",84,"1HRK","h","hhttthhhtxhthhththhxthhhxttttthhhttthhththttthhhhthhttthttthhthhtxttthhhthhhhthhthtthhhtttthhhhtthhthhtt"
"ingeborgR",85,"1HRK","h","httttthtthtthhtthxhhhhhhhhtthhhthxthhttthhthhtttthttttthhhtththtthhthhhhttthhhttthtxtththtthhhhththhthh"
"ingeborgR",86,"1HRK","t","httthhtthhhthttthhhhtthhhthhxtthxtthhhhhhhhthtthtxhthhththttthhthtthhhhttttthththhhhtththxhttthhhhthhthh"
"ingeborgR",6,"1HRK","t","httttthtttttthhhhhhhhhtthhhthhhththhhhttttthhttthtthhththtthttthhhhhthttthxhhtthttttthttththhhtthhttt"
"ingeborgR",7,"1HRK","t","ththhhhhtthtttttthththhhhttttthhhhthtthttththhhttthhhththhhhhttttthhhhhhhhhthhtththtthhthhtththhtthh"
"ingeborgR",8,"1HRK","t","tththhhttttthhhhhthhhhhhhhtttthtthtttththhhhthhhththttthttttxtthttthttxxttthhttthhththhtthhthhtthtthh"
"ingeborgR",9,"1HRK","h","thhhththhhhthttttthtthhttththhthhtthtthhttxhhhthttthhttttttththtthhtttthhttttthtththhhthhhthttthhhhth"
"ingeborgR",10,"1HRK","t","htthhhtthhtxthhttththtthtthhtthhhhhhhhhhhhtthhthttthhxthhtthhthhtthttthtthhtthhtthhthtttthtthhhhtttth"
"ingeborgR",11,"1HRK","t","thtttthhtththhttthtthhththhhhhthhthttxtthhttthththhhthhthhhthhhhthhtthhttthhhttthtttthhthhthhthhthhth"
"ingeborgR",12,"1HRK","h","ttthhhhhthtthttthhthttthhxhhhhhhththhhhhhtththhtttttthhhhhttxttttthtttthttttttthttttthtthtthhhhtthtthh"
"ingeborgR",13,"1HRK","h","tttththttthhthhhtthtthhhttttthhhthtthtxtthtthtthtthtxthhthttththhtthhthhhhhtthhtthhhhtthhxthhhththtthhh"
